43302      '56,9705'   21.07.2018
43303      '56,9311'   22.07.2018
43304      '57,0137'   23.07.2018
43305      '57,3911'   24.07.2018
43306      '58,3694'   25.07.2018
43307      '57,9436'   26.07.2018
43308      '57,4522'   27.07.2018
43309      '57,0558'   28.07.2018
43310      '57,0974'   29.07.2018
43311      '56,352'    30.07.2018
43312      '56,5699'   31.07.2018
43313      '57,0978'   01.08.2018
43314      '57,5828'   02.08.2018
43315      '56,9264'   03.08.2018
43316      '56,6293'   04.08.2018
43317      '56,3695'   05.08.2018
43318      '56,4127'   06.08.2018
43319      '56,9672'   07.08.2018
43320      '56,5203'   08.08.2018
43321      '56,4855'   09.08.2018
43322      '56,5497'   10.08.2018
43323      '56,5617'   11.08.2018
43324      '56,3983'   12.08.2018
43325      '56,6453'   13.08.2018
43326      '56,6103'   14.08.2018
43327      '56,5353'   15.08.2018
43328      '57,0911'   16.08.2018
43329      '56,9048'   17.08.2018
43330      '57,0237'   18.08.2018
43331      '56,9845'   19.08.2018
43332      '57,4307'   20.08.2018
43333      '57,8743'   21.08.2018
43334      '57,779'    22.08.2018
43335      '58,4527'   23.08.2018
43336      '59,62'     24.08.2018
43337      '60,3063'   25.08.2018
43338      '59,946'    26.08.2018
43339      '59,395'    27.08.2018
43340      '58,7853'   28.08.2018
43341      '59,4894'   29.08.2018
43342      '59,2004'   30.08.2018
43343      '59,4146'   31.08.2018
43344      '58,9401'   01.09.2018
43345      '59,284'    02.09.2018
43346      '59,4093'   03.09.2018
43347      '59,9993'   04.09.2018
43348      '60,1558'   05.09.2018
43349      '60,361'    06.09.2018
43350      '60,2273'   07.09.2018
43351      '60,7255'   08.09.2018
43352      '59,9962'   09.09.2018
43353      '59,8363'   10.09.2018
43354      '59,0851'   11.09.2018
43355      '59,355'    12.09.2018
43356      '59,1807'   13.09.2018
43357      '58,997'    14.09.2018
43358      '58,9316'   15.09.2018
43359      '59,3829'   16.09.2018
43360      '60,0094'   17.09.2018
43361      '59,8868'   18.09.2018
43362      '59,4064'   19.09.2018
43363      '59,4968'   20.09.2018
43364      '59,5578'   21.09.2018
43365      '59,7719'   22.09.2018
43366      '60,3483'   23.09.2018
43367      '60,5811'   24.09.2018
43368      '60,3489'   25.09.2018
43369      '59,9798'   26.09.2018
43370      '60,0388'   27.09.2018
43371      '59,8262'   28.09.2018
43372      '59,9945'   29.09.2018
43373      '60,117'    30.09.2018
43374      '59,8733'   01.10.2018
43375      '59,863'    02.10.2018
43376      '59,7038'   03.10.2018
43377      '59,3852'   04.10.2018
43378      '59,234'    05.10.2018
43379      '59,0003'   06.10.2018
43380      '59,1428'   07.10.2018
43381      '59,0868'   08.10.2018
43382      '59,063'    09.10.2018
43383      '59,1624'   10.10.2018
43384      '58,5828'   11.10.2018
43385      '58,4388'   12.10.2018
43386      '58,8299'   13.10.2018
43387      '58,5678'   14.10.2018
43388      '58,006'    15.10.2018
43389      '57,5159'   16.10.2018
43390      '57,8349'   17.10.2018
43391      '57,527'    18.10.2018
43392      '57,3641'   19.10.2018
43393      '56,9'      20.10.2018
43394      '57,357'    21.10.2018
43395      '57,2123'   22.10.2018
43396      '57,7056'   23.10.2018
43397      '57,9559'   24.10.2018
43398      '57,4996'   25.10.2018
43399      '57,6329'   26.10.2018
43400      '58,1199'   27.10.2018
43401      '58,1302'   28.10.2018
43402      '58,1041'   29.10.2018
43403      '57,901'    30.10.2018
43404      '57,4783'   31.10.2018
43405      '57,571'    01.11.2018
43406      '57,8226'   02.11.2018
43407      '58,1983'   03.11.2018
43408      '57,9127'   04.11.2018
43409      '57,4898'   05.11.2018
43410      '57,899'    06.11.2018
43411      '57,9168'   07.11.2018
43412      '57,6845'   08.11.2018
43413      '57,6916'   09.11.2018
43414      '58,188'    10.11.2018
43415      '58,347'    11.11.2018
43416      '57,9808'   12.11.2018
43417      '57,831'    13.11.2018
43418      '57,6879'   14.11.2018
43419      '57,174'    15.11.2018
43420      '57,3217'   16.11.2018
43421      '57,2975'   17.11.2018
43422      '57,4379'   18.11.2018
43423      '57,2734'   19.11.2018
43424      '57,4945'   20.11.2018
43425      '57,548'    21.11.2018
43426      '57,6412'   22.11.2018
43427      '57,7552'   23.11.2018
43428      '57,856'    24.11.2018
43429      '58,068'    25.11.2018
43430      '57,9716'   26.11.2018
43431      '58,3289'   27.11.2018
43432      '58,2807'   28.11.2018
